top - 11:09:42 up  4:14,  1 user,  load average: 0.12, 0.11, 0.13
Tasks: 244 total,   1 running, 241 sleeping,   0 stopped,   2 zombie
%Cpu(s):  0.0 us,  1.4 sy,  0.0 ni, 98.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   8438.6 total,   5017.2 free,   2211.1 used,   1543.0 buff/cache     
MiB Swap:    953.7 total,    953.7 free,      0.0 used.   6227.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  11588 kali      20   0   10420   5264   3216 R   9.1   0.1   0:00.01 top
      1 root      20   0   23972  14148  10544 S   0.0   0.2   0:02.29 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.06 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root      20   0       0      0      0 I   0.0   0.0   0:00.42 kworker+
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:06.63 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.50 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.33 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:01.08 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.42 ksoftir+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0.0   0.0   0:01.07 migrati+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     34 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker+
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     37 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     38 root      rt   0       0      0      0 S   0.0   0.0   0:01.08 migrati+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftir+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.26 kworker+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     43 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     44 root      rt   0       0      0      0 S   0.0   0.0   0:01.09 migrati+
     45 root      20   0       0      0      0 S   0.0   0.0   0:02.32 ksoftir+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     49 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     50 root      rt   0       0      0      0 S   0.0   0.0   0:01.09 migrati+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     55 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     56 root      rt   0       0      0      0 S   0.0   0.0   0:01.02 migrati+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.19 ksoftir+
     67 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kdevtmp+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     69 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     70 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungta+
     71 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     72 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     73 root      20   0       0      0      0 S   0.0   0.0   0:01.49 kcompac+
     74 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     75 root      39  19       0      0      0 S   0.0   0.0   0:07.08 khugepa+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     78 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     80 root      20   0       0      0      0 I   0.0   0.0   0:01.40 kworker+
     81 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.22 kworker+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.25 kworker+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    285 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    290 root      20   0       0      0      0 S   0.0   0.0   0:00.03 scsi_eh+
    291 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    292 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
    294 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    299 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    300 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    304 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    305 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    309 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    342 root      20   0       0      0      0 S   0.0   0.0   0:00.78 jbd2/sd+
    343 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    399 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    411 root      20   0   51576  18208  17056 S   0.0   0.2   0:00.98 systemd+
    461 root      20   0   36636  10344   7528 S   0.0   0.1   0:00.40 systemd+
    464 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    584 root      20   0    8380   6684   1600 S   0.0   0.1   0:01.14 haveged
    593 root      20   0  309336   7260   6364 S   0.0   0.1   0:00.34 account+
    594 message+  20   0   10260   6492   4316 S   0.0   0.1   0:11.25 dbus-da+
    601 polkitd   20   0  382604   9632   7328 S   0.0   0.1   0:01.38 polkitd
    682 root      20   0  336508  18876  16188 S   0.0   0.2   0:00.76 Network+
    694 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    695 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    698 root      20   0  317204  11900  10236 S   0.0   0.1   0:00.30 ModemMa+
    700 root      20   0    6880   2684   2556 S   0.0   0.0   0:00.06 cron
    710 root      20   0  357280   3256   3120 S   0.0   0.0   0:05.41 VBoxSer+
    765 root      20   0  381024   7228   6460 S   0.0   0.1   0:00.15 lightdm
    771 root      20   0 2096112  49968  36064 S   0.0   0.6   0:21.76 contain+
    818 root      20   0  475752 180864  83548 S   0.0   2.1   4:03.97 Xorg
    819 root      20   0    8160   2504   2376 S   0.0   0.0   0:00.02 agetty
    872 mysql     20   0 1440696 151320  27668 S   0.0   1.8   0:06.75 mariadbd
    875 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker+
    899 root      20   0 2137140  88244  55968 S   0.0   1.0   0:13.88 dockerd
    995 rtkit     21   1   87008   2972   2844 S   0.0   0.0   0:00.56 rtkit-d+
   1213 root      20   0  172832  10168   9016 S   0.0   0.1   0:00.03 lightdm
   1230 kali      20   0   22880  12600  10040 S   0.0   0.1   0:00.29 systemd
   1232 kali      20   0   25116   3828   1968 S   0.0   0.0   0:00.00 (sd-pam)
   1252 kali      20   0    9308   5480   4328 S   0.0   0.1   0:01.30 dbus-da+
   1253 kali      20   0  112916  15368  10260 S   0.0   0.2   0:00.40 pipewire
   1254 kali      20   0   84752   5140   4628 S   0.0   0.1   0:00.01 pipewire
   1256 kali      20   0  183144   9764   8996 S   0.0   0.1   0:00.17 gnome-k+
   1257 kali      20   0    7232   3384   3256 S   0.0   0.0   0:00.05 mpris-p+
   1258 kali      20   0  612944  33532  26184 S   0.0   0.4   0:00.37 wireplu+
   1259 kali      20   0  171080  10156   8108 S   0.0   0.1   0:00.67 pipewir+
   1281 kali      20   0  421880  36076  18908 S   0.0   0.4   0:04.69 xfce4-s+
   1343 kali      20   0   16716   1660   1368 S   0.0   0.0   0:00.00 VBoxCli+
   1345 kali      20   0  215544   4640   3708 S   0.0   0.1   0:00.75 VBoxCli+
   1351 kali      20   0   16716   1768   1476 S   0.0   0.0   0:00.00 VBoxCli+
   1353 kali      20   0  214872   3264   2972 S   0.0   0.0   0:18.97 VBoxCli+
   1359 kali      20   0   16716   1716   1424 S   0.0   0.0   0:00.00 VBoxCli+
   1361 kali      20   0  215388   3136   2844 S   0.0   0.0   0:56.72 VBoxCli+
   1392 kali      20   0  381200   7332   6820 S   0.0   0.1   0:00.03 at-spi-+
   1399 kali      20   0    8752   4764   4252 S   0.0   0.1   0:00.43 dbus-da+
   1409 kali      20   0  168884   7368   6728 S   0.0   0.1   0:03.42 at-spi2+
   1417 kali      20   0   10676   1696    728 S   0.0   0.0   0:00.00 ssh-age+
   1426 kali      20   0  155472   3668   3412 S   0.0   0.0   0:00.41 gpg-age+
   1431 kali      20   0   16716   1836   1544 S   0.0   0.0   0:00.00 VBoxCli+
   1432 kali      20   0  215060   3516   3224 S   0.0   0.0   0:04.91 VBoxCli+
   1440 kali      20   0 1630536 131040  82448 S   0.0   1.5   1:18.05 xfwm4
   1445 kali      20   0  312744   7712   7072 S   0.0   0.1   0:00.08 gvfsd
   1451 kali      20   0  398376   6772   6260 S   0.0   0.1   0:00.01 gvfsd-f+
   1475 kali      20   0  348116  26520  18656 S   0.0   0.3   0:03.10 xfsetti+
   1481 kali      20   0  165236   5656   5272 S   0.0   0.1   0:00.02 dconf-s+
   1485 kali      20   0  515520  52428  31948 S   0.0   0.6   0:12.22 xfce4-p+
   1491 kali      20   0  485420  25800  18592 S   0.0   0.3   0:00.36 Thunar
   1498 kali      20   0  662812  70064  42296 S   0.0   0.8   0:06.14 xfdeskt+
   1500 kali      20   0  427704  41884  32196 S   0.0   0.5   0:00.96 wrapper+
   1508 kali      20   0  332064  83780  20756 S   0.0   1.0   0:23.57 wrapper+
   1509 kali      20   0  419908  26464  19408 S   0.0   0.3   0:00.45 wrapper+
   1510 kali      20   0  358504  38548  30540 S   0.0   0.4   0:00.40 wrapper+
   1511 kali      20   0  424560  36616  28928 S   0.0   0.4   0:00.38 wrapper+
   1512 kali      20   0  285432  37376  29616 S   0.0   0.4   0:07.78 wrapper+
   1516 kali      20   0  424836  36812  29164 S   0.0   0.4   0:00.39 wrapper+
   1544 root      20   0  319228  10384   8080 S   0.0   0.1   0:03.54 upowerd
   1545 kali      20   0  434128  38768  30768 S   0.0   0.4   0:02.94 xfce4-n+
   1560 kali      20   0  264916  18136  15832 S   0.0   0.2   0:00.26 polkit-+
   1562 kali      20   0  603204  59636  33856 S   0.0   0.7   0:01.49 blueman+
   1564 kali      20   0   12424   1752   1480 S   0.0   0.0   0:00.93 xcape
   1569 kali      20   0  308524   6308   5796 S   0.0   0.1   0:00.03 agent
   1570 kali      20   0  922612   8664   7512 S   0.0   0.1   0:00.11 xiccd
   1576 kali      20   0  281176  36576  20252 S   0.0   0.4   0:05.65 xfce4-s+
   1583 kali      20   0   64720  39860  21856 S   0.0   0.5   0:00.62 applet.+
   1586 kali      20   0  410392  25160  18016 S   0.0   0.3   0:01.32 xfce4-p+
   1587 colord    20   0  315976  14096   9616 S   0.0   0.2   0:00.29 colord
   1600 kali      20   0  586100  42588  34000 S   0.0   0.5   0:00.48 nm-appl+
   1700 kali      20   0  538236  11268   9988 S   0.0   0.1   0:00.14 gvfs-ud+
   1701 kali      20   0  378528  18088  16296 S   0.0   0.2   0:00.16 obexd
   1705 root      20   0  478372  13704  11784 S   0.0   0.2   0:00.57 udisksd
   1723 kali      20   0  390036   8264   7240 S   0.0   0.1   0:01.50 gvfs-af+
   1729 kali      20   0  307936   6576   6064 S   0.0   0.1   0:00.05 gvfs-mt+
   1734 kali      20   0  308888   7052   6412 S   0.0   0.1   0:00.05 gvfs-gp+
   1739 kali      20   0  307832   6268   5756 S   0.0   0.1   0:00.05 gvfs-go+
   1758 kali      20   0  168884   6664   6152 S   0.0   0.1   0:00.02 gvfsd-m+
